Status,Esfor̤o,Canal Solicitante,Sistema,Agrega valor na cadeia de varejo?,Garante uma governan̤a abrangente?,Muda o ponteiro de algum KPI?,Estimula crescimento/manunten̤̣o na base de clientes?,Melhora a experi̻ncia do cliente?,Impacto faturamento,Volume de clientes Impactados
Ṇo iniciado,G,Comercial,Mil̻nio,,,,,,,
Ṇo iniciado,G,Comercial,Mil̻nio,,,,,,,
Ṇo iniciado,G,Comercial,Mil̻nio,,,,,,,
Ṇo iniciado,P,Comercial,Mil̻nio,,,,,,,
Ṇo iniciado,G,Comercial,Mil̻nio,,,,,,,
Ṇo iniciado,M,Comercial,Mil̻nio,,,,,,,
Ṇo iniciado,G,Comercial,Mil̻nio,,,,,,,
Ṇo iniciado,G,Comercial,Syspdv,,,,,,,
Ṇo iniciado,,Comercial,Syspdv,,,,,,,
Ṇo iniciado,,Comercial,Syspdv,,,,,,,
Ṇo iniciado,,Comercial,Syspdv,,,,,,,
Ṇo iniciado,,Comercial,Syspdv,,,,,,,
Ṇo iniciado,,Comercial,Syspdv,,,,,,,
Ṇo iniciado,M,Comercial,Syspdv,,,,,,,
Ṇo iniciado,,Comercial,Syspdv,,,,,,,
Ṇo iniciado,,Comercial,Syspdv,,,,,,,
Ṇo iniciado,,Comercial,Syspdv,,,,,,,
Ṇo iniciado,,Comercial,Syspdv,,,,,,,
Ṇo iniciado,M,Comercial,Sizi,,,,,,,
Pendente,,Atendimento,Mil̻nio,,,,,,,
Pendente,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Ṇo iniciado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Pendente,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Pendente,,Atendimento,Mil̻nio,,,,,,,
Pendente,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Em andamento,,Atendimento,Mil̻nio,,,,,,,
Pendente,,Atendimento,Mil̻nio,,,,,,,
Pendente,,Atendimento,Mil̻nio,,,,,,,
Pendente,,Atendimento,Mil̻nio,,,,,,,
Pendente,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Pendente,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Pendente,,Atendimento,Mil̻nio,,,,,,,
Em andamento,,Atendimento,Mil̻nio,,,,,,,
Em andamento,,Atendimento,Mil̻nio,,,,,,,
Em andamento,,Atendimento,Mil̻nio,,,,,,,
Em andamento,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Em andamento,,Atendimento,Mil̻nio,,,,,,,
Em andamento,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Finalizado,,Atendimento,Mil̻nio,,,,,,,
Em andamento,,Atendimento,Mil̻nio,,,,,,,
Em andamento,,Atendimento,Mil̻nio,,,,,,,
Ṇo iniciado,GG,Produtos GB,Maestro,,,,,,,
Ṇo iniciado,GG,NNs e Fiscal,Newton,,,,,,,
Ṇo iniciado,GG,Produtos GB,Sizi,,,,,,,
Ṇo iniciado,GG,NNs e Fiscal,VarejoFacil,,,,,,,
Ṇo iniciado,GG,NNs e Fiscal,VarejoFacil,,,,,,,
Ṇo iniciado,GG,Engenharia CM,?,,,,,,,
Ṇo iniciado,GG,NNs e Fiscal,varejofacil,,,,,,,
Ṇo iniciado,GG,Comercial,SysPDV,,,,,,,
Ṇo iniciado,GG,Comercial,SysPDV,,,,,,,
Ṇo iniciado,GG,Comercial,SysPDV,,,,,,,
Ṇo iniciado,GG,Comercial,SysPDV,,,,,,,
Ṇo iniciado,,Opera̵̤es,Mil̻nio,,,,,,,
